Ticker,Date,Open,High,Low,Close,Adj Close,Volume
CL=F,2008-08-14,116.3899994,117.4199982,112.5899963,115.0100021,115.0100021,268197
^NYA,2008-08-15,8385.849609,8407.290039,8338.839844,8383.669922,8383.669922,4041820000
^IXIC,2008-08-15,2463.100098,2473.199951,2441.050049,2452.52002,2452.52002,1742180000
^FTSE,2008-08-15,5497.399902,5538.799805,5432.200195,5454.799805,5454.799805,964805800
^N225,2008-08-15,12991.91016,13029.58008,12952.20996,13019.41016,13019.41016,94700000
000001.SS,2008-08-15,2434.407959,2476.85791,2414.572998,2450.610107,2450.610107,31200
^N100,2008-08-15,776.2700195,784.1900024,772.6699829,777.8099976,777.8099976,234064800
^DJI,2008-08-15,11611.20996,11709.88965,11599.73047,11659.90039,11659.90039,215040000
^GSPC,2008-08-15,1293.849976,1302.050049,1290.73999,1298.199951,1298.199951,4041820000
GC=F,2008-08-15,796.9000244,799.2000122,780.9000244,786,786,134
CL=F,2008-08-15,114.8300018,115.1999969,111.3399963,113.7699966,113.7699966,276806
^NYA,2008-08-18,8383.790039,8413.530273,8259.969727,8281.860352,8281.860352,3829290000
^IXIC,2008-08-18,2456.959961,2456.959961,2404.409912,2416.97998,2416.97998,1632610000
^FTSE,2008-08-18,5454.799805,5498.700195,5425.299805,5450.200195,5450.200195,727068400
^NSEI,2008-08-18,4430.700195,4447.399902,4379.850098,4393.049805,4393.049805,0
^BSESN,2008-08-18,14681.13965,14824.91992,14600.65039,14645.66016,14645.66016,19600
^N225,2008-08-18,12971.49023,13270.37012,12934.21973,13165.4502,13165.4502,114100000
000001.SS,2008-08-18,2451.778076,2455.503906,2318.926025,2319.86792,2319.86792,53600
^N100,2008-08-18,775.1400146,784.1400146,770.0599976,776.3200073,776.3200073,193985100
^DJI,2008-08-18,11659.65039,11690.42969,11434.12012,11479.38965,11479.38965,156290000
^GSPC,2008-08-18,1298.140015,1300.219971,1274.51001,1278.599976,1278.599976,3829290000
GC=F,2008-08-18,792,801.7000122,792,799.7000122,799.7000122,22
CL=F,2008-08-18,113.9400024,115.3499985,112,112.8700027,112.8700027,178631
^NYA,2008-08-19,8281.80957,8281.80957,8180.879883,8212.469727,8212.469727,4159760000
^IXIC,2008-08-19,2404.949951,2410.959961,2376.669922,2384.360107,2384.360107,1716280000
^FTSE,2008-08-19,5450.200195,5450.200195,5317.100098,5320.399902,5320.399902,1162376400
^NSEI,2008-08-19,4393.100098,4393.700195,4316.549805,4368.25,4368.25,0
^BSESN,2008-08-19,14517.75977,14604.11035,14368.71973,14543.73047,14543.73047,17600
^N225,2008-08-19,13016.5,13016.5,12782.09961,12865.0498,12865.0498,103300000
000001.SS,2008-08-19,2297.245117,2355.928955,2284.584961,2344.468994,2344.468994,38600
^N100,2008-08-19,768.4699707,768.4699707,756.6300049,757,757,272634400
^DJI,2008-08-19,11478.08984,11478.16992,11318.5,11348.5498,11348.5498,171580000
^GSPC,2008-08-19,1276.650024,1276.650024,1263.109985,1266.689941,1266.689941,4159760000
GC=F,2008-08-19,789.5999756,814.5,789.5999756,811.0999756,811.0999756,48
CL=F,2008-08-19,113.1100006,116.6500015,111.6399994,114.5299988,114.5299988,149293
^NYA,2008-08-20,8212.459961,8278.639648,8187.370117,8276.910156,8276.910156,4555030000
^IXIC,2008-08-20,2396.580078,2408.679932,2372.340088,2389.080078,2389.080078,1746470000
^FTSE,2008-08-20,5320.399902,5384.200195,5320.399902,5371.799805,5371.799805,1086011900
^NSEI,2008-08-20,4365.450195,4434.899902,4365.450195,4415.75,4415.75,0
^BSESN,2008-08-20,14610.57031,14746.2002,14584.03027,14678.23047,14678.23047,18400
^N225,2008-08-20,12753.98047,12923.66016,12753.98047,12851.69043,12851.69043,110400000
000001.SS,2008-08-20,2332.483887,2523.468994,2306.662109,2523.281982,2523.281982,73800
^N100,2008-08-20,760.0900269,763.5300293,755.25,761.3099976,761.3099976,243867900
^DJI,2008-08-20,11345.94043,11454.15039,11290.58008,11417.42969,11417.42969,144880000
^GSPC,2008-08-20,1267.339966,1276.01001,1261.160034,1274.540039,1274.540039,4555030000
GC=F,2008-08-20,814.9000244,814.9000244,804.7000122,810.2999878,810.2999878,87
CL=F,2008-08-20,115.1100006,117.0299988,112.6100006,114.9800034,114.9800034,274859
^NYA,2008-08-21,8276.709961,8336.620117,8235.769531,8314.139648,8314.139648,4032590000
^IXIC,2008-08-21,2371.540039,2387.719971,2360.389893,2380.379883,2380.379883,1562430000
^FTSE,2008-08-21,5371.799805,5408,5311.399902,5370.200195,5370.200195,1011026700
^NSEI,2008-08-21,4416.200195,4418.549805,4271.299805,4283.850098,4283.850098,0
^BSESN,2008-08-21,14646.98047,14646.98047,14201.17969,14243.73047,14243.73047,19400
^N225,2008-08-21,12885.33984,12885.33984,12723.83008,12752.20996,12752.20996,105200000
000001.SS,2008-08-21,2484.485107,2518.443115,2431.045898,2431.716064,2431.716064,61400
^N100,2008-08-21,756.2600098,757.1699829,749.539978,751.9500122,751.9500122,248593000
^DJI,2008-08-21,11415.23047,11476.20996,11315.57031,11430.20996,11430.20996,130020000
^GSPC,2008-08-21,1271.069946,1281.400024,1265.219971,1277.719971,1277.719971,4032590000
GC=F,2008-08-21,825.7999878,835.5999756,825.7999878,833,833,99
